InvoiceNo,StockCode,CustomerID,InvoiceDate,Year,Month,YearMonth,Quantity,UnitPrice,Revenue,IsCancelled,Country
536842,47590B,17552.0,2010-12-02 18:45:00,2010,12,2010-12,6,5.45,32.7,False,United Kingdom
536876,22251,,2010-12-03 11:36:00,2010,12,2010-12,1,2.51,2.51,False,United Kingdom
536876,84663A,,2010-12-03 11:36:00,2010,12,2010-12,1,5.91,5.91,False,United Kingdom
536876,84945,,2010-12-03 11:36:00,2010,12,2010-12,6,1.84,11.040000000000001,False,United Kingdom
536876,21098,,2010-12-03 11:36:00,2010,12,2010-12,17,2.51,42.669999999999995,False,United Kingdom
536876,21986,,2010-12-03 11:36:00,2010,12,2010-12,4,0.85,3.4,False,United Kingdom
536945,22132,14083.0,2010-12-03 12:24:00,2010,12,2010-12,2,0.85,1.7,False,United Kingdom
536973,22296,17787.0,2010-12-03 13:43:00,2010,12,2010-12,12,1.65,19.799999999999997,False,United Kingdom
536986,22694,16140.0,2010-12-03 14:40:00,2010,12,2010-12,6,2.1,12.600000000000001,False,United Kingdom
537137,15039,16327.0,2010-12-05 12:43:00,2010,12,2010-12,3,0.85,2.55,False,United Kingdom
537144,35953,15880.0,2010-12-05 13:00:00,2010,12,2010-12,24,1.25,30.0,False,United Kingdom
537155,22865,12748.0,2010-12-05 13:05:00,2010,12,2010-12,1,2.1,2.1,False,United Kingdom
537159,22667,14527.0,2010-12-05 13:17:00,2010,12,2010-12,1,2.95,2.95,False,United Kingdom
537160,22694,14161.0,2010-12-05 13:18:00,2010,12,2010-12,3,2.1,6.300000000000001,False,United Kingdom
537196,21326,15426.0,2010-12-05 13:55:00,2010,12,2010-12,12,0.65,7.800000000000001,False,United Kingdom
537219,84029G,14081.0,2010-12-05 15:47:00,2010,12,2010-12,2,3.75,7.5,False,United Kingdom
537222,22375,14404.0,2010-12-05 16:00:00,2010,12,2010-12,1,4.25,4.25,False,United Kingdom
537224,21481,13174.0,2010-12-05 16:24:00,2010,12,2010-12,2,2.95,5.9,False,United Kingdom
537224,22153,13174.0,2010-12-05 16:24:00,2010,12,2010-12,48,0.42,20.16,False,United Kingdom
537237,21896,,2010-12-06 09:58:00,2010,12,2010-12,1,4.21,4.21,False,United Kingdom
537237,22807,,2010-12-06 09:58:00,2010,12,2010-12,1,5.91,5.91,False,United Kingdom
537240,22536,,2010-12-06 10:08:00,2010,12,2010-12,1,0.85,0.85,False,United Kingdom
537240,84380,,2010-12-06 10:08:00,2010,12,2010-12,1,2.51,2.51,False,United Kingdom
537262,22411,15039.0,2010-12-06 11:26:00,2010,12,2010-12,10,1.95,19.5,False,United Kingdom
537312,21870,14189.0,2010-12-06 11:42:00,2010,12,2010-12,72,1.06,76.32000000000001,False,United Kingdom
537312,22556,14189.0,2010-12-06 11:42:00,2010,12,2010-12,12,1.65,19.799999999999997,False,United Kingdom
537351,21219,16898.0,2010-12-06 12:23:00,2010,12,2010-12,10,1.25,12.5,False,United Kingdom
537362,21830,17596.0,2010-12-06 12:34:00,2010,12,2010-12,24,0.42,10.08,False,United Kingdom
537372,22837,16919.0,2010-12-06 12:52:00,2010,12,2010-12,2,4.65,9.3,False,United Kingdom
537395,21175,15356.0,2010-12-06 14:05:00,2010,12,2010-12,2,2.1,4.2,False,United Kingdom
537395,22867,15356.0,2010-12-06 14:05:00,2010,12,2010-12,2,2.1,4.2,False,United Kingdom
537399,22952,13030.0,2010-12-06 14:31:00,2010,12,2010-12,3,0.55,1.6500000000000001,False,United Kingdom
537400,85123A,17191.0,2010-12-06 14:36:00,2010,12,2010-12,6,2.95,17.700000000000003,False,United Kingdom
537434,20975,,2010-12-06 16:57:00,2010,12,2010-12,7,1.28,8.96,False,United Kingdom
537434,21595,,2010-12-06 16:57:00,2010,12,2010-12,1,8.47,8.47,False,United Kingdom
537434,21723,,2010-12-06 16:57:00,2010,12,2010-12,1,1.66,1.66,False,United Kingdom
537434,22621,,2010-12-06 16:57:00,2010,12,2010-12,2,1.45,2.9,False,United Kingdom
537469,22112,17720.0,2010-12-07 10:43:00,2010,12,2010-12,24,4.25,102.0,False,United Kingdom
537638,21846,,2010-12-07 15:28:00,2010,12,2010-12,7,4.21,29.47,False,United Kingdom
537638,21982,,2010-12-07 15:28:00,2010,12,2010-12,6,0.85,5.1,False,United Kingdom
537638,84946,,2010-12-07 15:28:00,2010,12,2010-12,54,2.51,135.54,False,United Kingdom
537645,20679,,2010-12-07 15:34:00,2010,12,2010-12,1,12.72,12.72,False,United Kingdom
537645,85039a,,2010-12-07 15:34:00,2010,12,2010-12,1,3.36,3.36,False,United Kingdom
537648,20971,12839.0,2010-12-07 15:48:00,2010,12,2010-12,12,1.25,15.0,False,United Kingdom
537655,84970L,15081.0,2010-12-07 16:20:00,2010,12,2010-12,12,0.95,11.399999999999999,False,United Kingdom
537666,22311,,2010-12-07 18:36:00,2010,12,2010-12,1,5.91,5.91,False,United Kingdom
537666,22963,,2010-12-07 18:36:00,2010,12,2010-12,1,1.66,1.66,False,United Kingdom
537666,21849,,2010-12-07 18:36:00,2010,12,2010-12,1,4.21,4.21,False,United Kingdom
537685,22585,18077.0,2010-12-08 10:21:00,2010,12,2010-12,6,1.25,7.5,False,United Kingdom
537685,85178,18077.0,2010-12-08 10:21:00,2010,12,2010-12,10,1.25,12.5,False,United Kingdom
537764,84030E,16893.0,2010-12-08 12:06:00,2010,12,2010-12,1,4.25,4.25,False,United Kingdom
537769,22834,15021.0,2010-12-08 12:17:00,2010,12,2010-12,1,2.1,2.1,False,United Kingdom
537773,22627,16016.0,2010-12-08 12:36:00,2010,12,2010-12,1,8.5,8.5,False,United Kingdom
537775,22203,17722.0,2010-12-08 12:41:00,2010,12,2010-12,4,3.75,15.0,False,United Kingdom
537789,21523,14051.0,2010-12-08 12:49:00,2010,12,2010-12,20,6.75,135.0,False,United Kingdom
537823,22079,,2010-12-08 14:25:00,2010,12,2010-12,2,3.36,6.72,False,United Kingdom
537823,22851,,2010-12-08 14:25:00,2010,12,2010-12,2,1.66,3.32,False,United Kingdom
537852,22197,17340.0,2010-12-08 15:56:00,2010,12,2010-12,13,0.85,11.049999999999999,False,United Kingdom
537852,21874,17340.0,2010-12-08 15:56:00,2010,12,2010-12,12,1.25,15.0,False,United Kingdom
537859,22797,14030.0,2010-12-08 16:11:00,2010,12,2010-12,1,16.95,16.95,False,United Kingdom
537864,22966,16700.0,2010-12-08 16:34:00,2010,12,2010-12,12,1.25,15.0,False,United Kingdom
537871,22556,12748.0,2010-12-08 17:20:00,2010,12,2010-12,1,1.65,1.65,False,United Kingdom
537955,79066K,16782.0,2010-12-09 11:28:00,2010,12,2010-12,2,0.85,1.7,False,United Kingdom
537963,37449,13369.0,2010-12-09 11:30:00,2010,12,2010-12,2,9.95,19.9,False,United Kingdom
538035,21115,16065.0,2010-12-09 13:03:00,2010,12,2010-12,1,6.75,6.75,False,United Kingdom
538071,21912,,2010-12-09 14:09:00,2010,12,2010-12,2,7.62,15.24,False,United Kingdom
538071,22312,,2010-12-09 14:09:00,2010,12,2010-12,1,5.91,5.91,False,United Kingdom
538071,22732,,2010-12-09 14:09:00,2010,12,2010-12,1,2.51,2.51,False,United Kingdom
538094,17084N,13117.0,2010-12-09 14:50:00,2010,12,2010-12,25,0.21,5.25,False,United Kingdom
538108,22637,17456.0,2010-12-09 15:23:00,2010,12,2010-12,4,2.55,10.2,False,United Kingdom
538146,21239,15596.0,2010-12-09 16:10:00,2010,12,2010-12,8,0.85,6.8,False,United Kingdom
538146,21564,15596.0,2010-12-09 16:10:00,2010,12,2010-12,6,2.95,17.700000000000003,False,United Kingdom
538148,85152,,2010-12-09 16:26:00,2010,12,2010-12,2,4.21,8.42,False,United Kingdom
538154,21189,,2010-12-09 16:35:00,2010,12,2010-12,3,3.36,10.08,False,United Kingdom
538163,22468,17841.0,2010-12-09 17:27:00,2010,12,2010-12,2,6.75,13.5,False,United Kingdom
538168,22731,14702.0,2010-12-09 19:23:00,2010,12,2010-12,9,1.25,11.25,False,United Kingdom
538168,22111,14702.0,2010-12-09 19:23:00,2010,12,2010-12,2,4.95,9.9,False,United Kingdom
538177,21210,,2010-12-10 09:51:00,2010,12,2010-12,1,2.98,2.98,False,United Kingdom
538177,22946,,2010-12-10 09:51:00,2010,12,2010-12,2,34.0,68.0,False,United Kingdom
538198,20762,17827.0,2010-12-10 11:01:00,2010,12,2010-12,2,3.75,7.5,False,United Kingdom
538208,22110,14037.0,2010-12-10 11:39:00,2010,12,2010-12,1,2.55,2.55,False,United Kingdom
538255,21531,14911.0,2010-12-10 12:33:00,2010,12,2010-12,6,2.55,15.299999999999999,False,EIRE
538313,22727,15514.0,2010-12-10 13:50:00,2010,12,2010-12,2,3.75,7.5,False,United Kingdom
538345,84789,13787.0,2010-12-10 14:45:00,2010,12,2010-12,4,3.75,15.0,False,United Kingdom
538349,22465,,2010-12-10 14:59:00,2010,12,2010-12,1,3.36,3.36,False,United Kingdom
538349,84685,,2010-12-10 14:59:00,2010,12,2010-12,2,7.62,15.24,False,United Kingdom
538349,90022,,2010-12-10 14:59:00,2010,12,2010-12,1,3.81,3.81,False,United Kingdom
538349,90030B,,2010-12-10 14:59:00,2010,12,2010-12,1,5.94,5.94,False,United Kingdom
538354,85230F,16873.0,2010-12-10 15:45:00,2010,12,2010-12,24,0.29,6.959999999999999,False,United Kingdom
538356,21730,14062.0,2010-12-10 15:56:00,2010,12,2010-12,18,4.25,76.5,False,United Kingdom
538370,22698,16923.0,2010-12-12 11:06:00,2010,12,2010-12,4,2.95,11.8,False,United Kingdom
538449,82599,17085.0,2010-12-12 12:24:00,2010,12,2010-12,2,2.1,4.2,False,United Kingdom
538509,22319,14413.0,2010-12-12 13:37:00,2010,12,2010-12,12,0.65,7.800000000000001,False,United Kingdom
538510,21056,18004.0,2010-12-12 13:47:00,2010,12,2010-12,1,8.95,8.95,False,United Kingdom
538518,20712,14505.0,2010-12-12 16:14:00,2010,12,2010-12,3,1.95,5.85,False,United Kingdom
538524,21071,,2010-12-13 09:35:00,2010,12,2010-12,1,2.51,2.51,False,United Kingdom
538524,22502,,2010-12-13 09:35:00,2010,12,2010-12,2,8.47,16.94,False,United Kingdom
538524,22533,,2010-12-13 09:35:00,2010,12,2010-12,1,0.85,0.85,False,United Kingdom
538524,22567,,2010-12-13 09:35:00,2010,12,2010-12,2,2.51,5.02,False,United Kingdom
538524,84754,,2010-12-13 09:35:00,2010,12,2010-12,2,2.51,5.02,False,United Kingdom
538566,22497,,2010-12-13 11:21:00,2010,12,2010-12,1,8.47,8.47,False,United Kingdom
538566,22567,,2010-12-13 11:21:00,2010,12,2010-12,1,2.51,2.51,False,United Kingdom
538566,85132A,,2010-12-13 11:21:00,2010,12,2010-12,1,8.47,8.47,False,United Kingdom
538566,90164B,,2010-12-13 11:21:00,2010,12,2010-12,1,7.64,7.64,False,United Kingdom
538593,21704,16701.0,2010-12-13 11:51:00,2010,12,2010-12,12,0.85,10.2,False,United Kingdom
538630,22077,14565.0,2010-12-13 13:25:00,2010,12,2010-12,12,1.65,19.799999999999997,False,United Kingdom
538658,84360,17969.0,2010-12-13 15:34:00,2010,12,2010-12,2,5.95,11.9,False,United Kingdom
538678,22741,,2010-12-13 16:46:00,2010,12,2010-12,1,0.85,0.85,False,United Kingdom
538678,21928,,2010-12-13 16:46:00,2010,12,2010-12,1,1.95,1.95,False,United Kingdom
538783,22565,14961.0,2010-12-14 11:38:00,2010,12,2010-12,12,0.85,10.2,False,United Kingdom
538811,20723,13178.0,2010-12-14 12:22:00,2010,12,2010-12,10,0.85,8.5,False,United Kingdom
538831,22759,18144.0,2010-12-14 13:02:00,2010,12,2010-12,12,1.65,19.799999999999997,False,United Kingdom
538841,22197,16899.0,2010-12-14 13:11:00,2010,12,2010-12,20,0.85,17.0,False,United Kingdom
538849,22904,14415.0,2010-12-14 13:31:00,2010,12,2010-12,4,2.95,11.8,False,United Kingdom
538853,47566,16805.0,2010-12-14 13:35:00,2010,12,2010-12,3,4.65,13.950000000000001,False,United Kingdom
538877,22077,,2010-12-14 15:29:00,2010,12,2010-12,16,4.21,67.36,False,United Kingdom
538883,84032A,,2010-12-14 15:56:00,2010,12,2010-12,6,5.91,35.46,False,United Kingdom
538886,22562,13846.0,2010-12-14 16:07:00,2010,12,2010-12,12,1.25,15.0,False,United Kingdom
538993,35817P,15512.0,2010-12-15 12:01:00,2010,12,2010-12,6,2.55,15.299999999999999,False,United Kingdom
538995,82551,13458.0,2010-12-15 12:05:00,2010,12,2010-12,12,1.45,17.4,False,United Kingdom
538999,22423,16003.0,2010-12-15 12:09:00,2010,12,2010-12,16,10.95,175.2,False,United Kingdom
539000,22622,13092.0,2010-12-15 12:27:00,2010,12,2010-12,4,9.95,39.8,False,United Kingdom
539038,82613D,15641.0,2010-12-15 14:45:00,2010,12,2010-12,20,0.42,8.4,False,United Kingdom
539103,21348,16985.0,2010-12-16 10:38:00,2010,12,2010-12,24,2.55,61.199999999999996,False,United Kingdom
539196,72741,18055.0,2010-12-16 12:09:00,2010,12,2010-12,9,1.45,13.049999999999999,False,United Kingdom
539214,22926,17062.0,2010-12-16 12:31:00,2010,12,2010-12,2,5.95,11.9,False,United Kingdom
539225,21356,15379.0,2010-12-16 13:02:00,2010,12,2010-12,12,1.25,15.0,False,United Kingdom
539263,21217,16560.0,2010-12-16 14:36:00,2010,12,2010-12,1,9.95,9.95,False,United Kingdom
539300,22966,,2010-12-16 17:31:00,2010,12,2010-12,1,1.25,1.25,False,United Kingdom
539333,22507,13627.0,2010-12-17 09:52:00,2010,12,2010-12,4,4.95,19.8,False,United Kingdom
539434,20682,,2010-12-17 14:41:00,2010,12,2010-12,1,6.77,6.77,False,United Kingdom
539434,22545,,2010-12-17 14:41:00,2010,12,2010-12,1,0.85,0.85,False,United Kingdom
539434,84375,,2010-12-17 14:41:00,2010,12,2010-12,1,4.21,4.21,False,United Kingdom
539436,20966,,2010-12-17 14:49:00,2010,12,2010-12,2,2.51,5.02,False,United Kingdom
539436,84884A,,2010-12-17 14:49:00,2010,12,2010-12,1,8.47,8.47,False,United Kingdom
539437,20719,,2010-12-17 14:54:00,2010,12,2010-12,5,1.66,8.299999999999999,False,United Kingdom
539437,47559B,,2010-12-17 14:54:00,2010,12,2010-12,1,2.51,2.51,False,United Kingdom
539447,22630,12395.0,2010-12-17 16:00:00,2010,12,2010-12,12,1.95,23.4,False,Belgium
539451,22949,,2010-12-17 16:59:00,2010,12,2010-12,1,2.98,2.98,False,United Kingdom
539451,84459A,,2010-12-17 16:59:00,2010,12,2010-12,1,3.36,3.36,False,United Kingdom
539463,22300,18077.0,2010-12-19 11:19:00,2010,12,2010-12,12,2.55,30.599999999999998,False,United Kingdom
539466,82613B,12668.0,2010-12-19 12:46:00,2010,12,2010-12,20,0.42,8.4,False,Germany
539471,21985,17358.0,2010-12-19 14:16:00,2010,12,2010-12,12,0.29,3.4799999999999995,False,United Kingdom
539472,20618,15581.0,2010-12-19 14:23:00,2010,12,2010-12,1,2.1,2.1,False,United Kingdom
539484,22943,15640.0,2010-12-19 15:44:00,2010,12,2010-12,4,4.95,19.8,False,United Kingdom
539488,22300,12377.0,2010-12-20 09:37:00,2010,12,2010-12,12,2.55,30.599999999999998,False,Switzerland
539492,22616,,2010-12-20 10:14:00,2010,12,2010-12,1,0.85,0.85,False,United Kingdom
539492,48184,,2010-12-20 10:14:00,2010,12,2010-12,1,14.43,14.43,False,United Kingdom
539595,22502,,2010-12-20 13:43:00,2010,12,2010-12,1,8.47,8.47,False,United Kingdom
539631,21918,,2010-12-20 15:03:00,2010,12,2010-12,1,0.85,0.85,False,United Kingdom
C539710,21314,14769.0,2010-12-21 12:35:00,2010,12,2010-12,-2,2.1,-4.2,True,United Kingdom
539722,22654,14911.0,2010-12-21 13:45:00,2010,12,2010-12,3,5.95,17.85,False,EIRE
539735,21918,,2010-12-21 15:17:00,2010,12,2010-12,1,0.81,0.81,False,United Kingdom
539737,21411,,2010-12-21 15:19:00,2010,12,2010-12,1,8.47,8.47,False,United Kingdom
539741,20969,,2010-12-21 15:20:00,2010,12,2010-12,1,7.62,7.62,False,United Kingdom
539742,21876,,2010-12-21 15:20:00,2010,12,2010-12,1,3.36,3.36,False,United Kingdom
539750,21485,,2010-12-21 15:40:00,2010,12,2010-12,6,7.62,45.72,False,United Kingdom
539761,22558,17593.0,2010-12-22 10:29:00,2010,12,2010-12,48,1.25,60.0,False,United Kingdom
539836,85123A,17894.0,2010-12-22 13:46:00,2010,12,2010-12,5,2.95,14.75,False,United Kingdom
539958,85132A,,2010-12-23 13:26:00,2010,12,2010-12,3,8.47,25.410000000000004,False,United Kingdom
539991,35443,,2010-12-23 16:49:00,2010,12,2010-12,1,0.85,0.85,False,United Kingdom
540026,20728,,2011-01-04 13:25:00,2011,1,2011-01,1,4.21,4.21,False,United Kingdom
540093,22117,16725.0,2011-01-04 15:24:00,2011,1,2011-01,2,2.95,5.9,False,United Kingdom
540095,22292,14553.0,2011-01-04 15:40:00,2011,1,2011-01,4,1.45,5.8,False,United Kingdom
540098,21977,16241.0,2011-01-04 15:50:00,2011,1,2011-01,1,0.55,0.55,False,United Kingdom
540114,84030E,15498.0,2011-01-05 09:44:00,2011,1,2011-01,8,4.25,34.0,False,United Kingdom
540121,22610,16145.0,2011-01-05 10:35:00,2011,1,2011-01,36,0.21,7.56,False,United Kingdom
540153,85123A,15841.0,2011-01-05 11:25:00,2011,1,2011-01,32,2.55,81.6,False,United Kingdom
540154,22726,,2011-01-05 11:30:00,2011,1,2011-01,2,7.62,15.24,False,United Kingdom
540154,84968C,,2011-01-05 11:30:00,2011,1,2011-01,4,8.47,33.88,False,United Kingdom
540154,90198A,,2011-01-05 11:30:00,2011,1,2011-01,1,4.24,4.24,False,United Kingdom
540163,22132,13089.0,2011-01-05 11:52:00,2011,1,2011-01,24,0.85,20.4,False,United Kingdom
540163,16161P,13089.0,2011-01-05 11:52:00,2011,1,2011-01,25,0.42,10.5,False,United Kingdom
540188,85014B,16771.0,2011-01-05 13:57:00,2011,1,2011-01,1,5.95,5.95,False,United Kingdom
540247,85123A,15464.0,2011-01-05 15:56:00,2011,1,2011-01,3,2.95,8.850000000000001,False,United Kingdom
540255,85034B,,2011-01-05 16:50:00,2011,1,2011-01,1,3.36,3.36,False,United Kingdom
540278,85123A,15719.0,2011-01-06 12:31:00,2011,1,2011-01,2,2.95,5.9,False,United Kingdom
540288,22485,17634.0,2011-01-06 12:45:00,2011,1,2011-01,1,12.75,12.75,False,United Kingdom
540288,21158,17634.0,2011-01-06 12:45:00,2011,1,2011-01,1,1.45,1.45,False,United Kingdom
540352,15039,,2011-01-06 14:27:00,2011,1,2011-01,1,1.66,1.66,False,United Kingdom
540352,21616,,2011-01-06 14:27:00,2011,1,2011-01,1,2.51,2.51,False,United Kingdom
540356,22738,,2011-01-06 15:12:00,2011,1,2011-01,1,2.51,2.51,False,United Kingdom
540365,22750,12413.0,2011-01-06 16:12:00,2011,1,2011-01,4,3.75,15.0,False,France
540371,82484,14312.0,2011-01-06 16:35:00,2011,1,2011-01,3,6.45,19.35,False,United Kingdom
C540393,85042,17428.0,2011-01-06 18:08:00,2011,1,2011-01,-1,4.95,-4.95,True,United Kingdom
540396,15056N,14031.0,2011-01-06 18:33:00,2011,1,2011-01,6,5.95,35.7,False,United Kingdom
540414,22894,12481.0,2011-01-07 10:32:00,2011,1,2011-01,2,8.5,17.0,False,Germany
C540417,22197,13680.0,2011-01-07 10:56:00,2011,1,2011-01,-10,0.85,-8.5,True,United Kingdom
540418,22161,,2011-01-07 11:04:00,2011,1,2011-01,5,0.81,4.050000000000001,False,United Kingdom
540418,82613D,,2011-01-07 11:04:00,2011,1,2011-01,7,0.85,5.95,False,United Kingdom
540418,22817,,2011-01-07 11:04:00,2011,1,2011-01,17,0.43,7.31,False,United Kingdom
540418,85116,,2011-01-07 11:04:00,2011,1,2011-01,8,1.66,13.28,False,United Kingdom
540458,22654,12501.0,2011-01-07 12:28:00,2011,1,2011-01,3,5.95,17.85,False,Germany
540464,84792,14298.0,2011-01-07 13:17:00,2011,1,2011-01,8,3.81,30.48,False,United Kingdom
540468,21413,,2011-01-07 13:55:00,2011,1,2011-01,1,2.51,2.51,False,United Kingdom
540468,22356,,2011-01-07 13:55:00,2011,1,2011-01,1,1.66,1.66,False,United Kingdom
540468,22585,,2011-01-07 13:55:00,2011,1,2011-01,2,2.51,5.02,False,United Kingdom
540469,20972,12484.0,2011-01-07 14:04:00,2011,1,2011-01,3,1.25,3.75,False,Spain
540523,22380,13069.0,2011-01-09 12:51:00,2011,1,2011-01,5,2.1,10.5,False,United Kingdom
540528,21448,17800.0,2011-01-09 13:50:00,2011,1,2011-01,1,1.65,1.65,False,United Kingdom
540538,47422,17841.0,2011-01-09 14:36:00,2011,1,2011-01,1,0.42,0.42,False,United Kingdom
540540,22443,17218.0,2011-01-09 15:10:00,2011,1,2011-01,3,7.95,23.85,False,United Kingdom
540545,21181,13451.0,2011-01-09 15:35:00,2011,1,2011-01,4,2.1,8.4,False,United Kingdom
540550,21559,12539.0,2011-01-10 09:11:00,2011,1,2011-01,6,2.55,15.299999999999999,False,Spain
540550,37444C,12539.0,2011-01-10 09:11:00,2011,1,2011-01,4,2.95,11.8,False,Spain
540550,21880,12539.0,2011-01-10 09:11:00,2011,1,2011-01,12,0.65,7.800000000000001,False,Spain
540551,22162,,2011-01-10 09:43:00,2011,1,2011-01,3,3.36,10.08,False,United Kingdom
540551,22166,,2011-01-10 09:43:00,2011,1,2011-01,1,7.62,7.62,False,United Kingdom
540551,22602,,2011-01-10 09:43:00,2011,1,2011-01,1,1.66,1.66,False,United Kingdom
540566,22813,17811.0,2011-01-10 10:58:00,2011,1,2011-01,2,1.95,3.9,False,United Kingdom
540604,22705,15326.0,2011-01-10 11:38:00,2011,1,2011-01,25,0.42,10.5,False,United Kingdom
540630,48185,17849.0,2011-01-10 11:59:00,2011,1,2011-01,1,7.95,7.95,False,United Kingdom
540639,22439,13107.0,2011-01-10 12:28:00,2011,1,2011-01,24,0.65,15.600000000000001,False,United Kingdom
540646,21803,,2011-01-10 14:32:00,2011,1,2011-01,5,0.43,2.15,False,United Kingdom
540646,90214W,,2011-01-10 14:32:00,2011,1,2011-01,1,0.85,0.85,False,United Kingdom
540647,72232,17406.0,2011-01-10 14:57:00,2011,1,2011-01,1,0.19,0.19,False,United Kingdom
540647,22666,17406.0,2011-01-10 14:57:00,2011,1,2011-01,4,2.95,11.8,False,United Kingdom
540681,82494L,,2011-01-10 16:25:00,2011,1,2011-01,1,7.62,7.62,False,United Kingdom
540700,21577,12393.0,2011-01-11 09:47:00,2011,1,2011-01,12,2.25,27.0,False,Australia
540770,21524,13468.0,2011-01-11 10:40:00,2011,1,2011-01,2,7.95,15.9,False,United Kingdom
540779,22666,15346.0,2011-01-11 11:18:00,2011,1,2011-01,6,2.95,17.700000000000003,False,United Kingdom
540798,21094,17365.0,2011-01-11 12:11:00,2011,1,2011-01,6,0.85,5.1,False,United Kingdom
540809,21901,18095.0,2011-01-11 12:37:00,2011,1,2011-01,24,0.65,15.600000000000001,False,United Kingdom
540821,84968A,,2011-01-11 13:16:00,2011,1,2011-01,4,8.47,33.88,False,United Kingdom
540821,21901,,2011-01-11 13:16:00,2011,1,2011-01,1,1.66,1.66,False,United Kingdom
540821,22090,,2011-01-11 13:16:00,2011,1,2011-01,1,5.91,5.91,False,United Kingdom
540838,22693,13862.0,2011-01-11 15:13:00,2011,1,2011-01,24,1.25,30.0,False,United Kingdom
540839,72802A,16791.0,2011-01-11 15:42:00,2011,1,2011-01,1,4.25,4.25,False,United Kingdom
540848,90190B,,2011-01-12 09:26:00,2011,1,2011-01,2,2.96,5.92,False,United Kingdom
540856,22849,16655.0,2011-01-12 10:16:00,2011,1,2011-01,4,14.95,59.8,False,United Kingdom
540943,20972,17841.0,2011-01-12 12:31:00,2011,1,2011-01,5,1.25,6.25,False,United Kingdom
540953,84536A,14587.0,2011-01-12 13:16:00,2011,1,2011-01,2,0.42,0.84,False,United Kingdom
540968,20718,17338.0,2011-01-12 13:40:00,2011,1,2011-01,4,1.25,5.0,False,United Kingdom
540977,22576,,2011-01-12 15:01:00,2011,1,2011-01,1,1.66,1.66,False,United Kingdom
540977,85032A,,2011-01-12 15:01:00,2011,1,2011-01,1,4.21,4.21,False,United Kingdom
540984,72807A,14167.0,2011-01-12 15:44:00,2011,1,2011-01,2,4.25,8.5,False,United Kingdom
540992,22077,17364.0,2011-01-12 16:57:00,2011,1,2011-01,4,1.65,6.6,False,United Kingdom
540995,84870B,,2011-01-13 09:30:00,2011,1,2011-01,1,2.46,2.46,False,United Kingdom
540995,22973,,2011-01-13 09:30:00,2011,1,2011-01,1,3.29,3.29,False,United Kingdom
